,strategy,gov_policy,age_prob,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.0,2.390418484993798,4.0774818401937045,0.0,0.0,0.0,820.0799999999999,80.832,0.0,33.44434395348294,-1.3322676295501879e-18
1,S1,no_TTI,0.0,2.4332412288942047,3.9794933655006033,0.0,0.0,0.0,784.992,79.176,0.0,30.76423250992089,6.661338147750939e-18
2,S1,no_TTI,0.25,2.281280156722432,3.86099706744868,0.0,0.0,0.0,828.192,78.996,0.0,32.32100799345902,-1.865174681370263e-17
3,S1,no_TTI,0.25,2.2832895700719793,3.8364779874213837,0.0,0.0,0.0,797.256,73.2,0.0,29.63483500302661,1.7319479184152442e-17
4,S1,no_TTI,0.5,2.0271784121152088,3.6048438495857233,0.0,0.0,0.0,833.64,67.872,0.0,29.70428485669484,-2.6645352591003758e-18
5,S1,no_TTI,0.5,2.1403101663206217,3.5847709696609162,0.0,0.0,0.0,855.552,72.312,0.0,29.137663324980405,0.0
6,S1,no_TTI,0.75,1.8900909739477785,3.278698224852071,0.0,0.0,0.0,859.848,66.492,0.0,28.160955048339048,-3.996802888650563e-18
7,S1,no_TTI,0.75,2.0618886487539885,3.511750881316099,0.0,0.0,0.0,874.4399999999999,71.724,0.0,29.61198623784851,-2.6645352591003758e-18
8,S1,no_TTI,1.0,1.8463972893143976,3.091588785046729,0.0,0.0,0.0,840.048,59.544,0.0,23.982388207804682,-2.531308496145357e-17
9,S1,no_TTI,1.0,1.8791784046609694,3.2062305295950155,0.0,0.0,0.0,891.528,61.751999999999995,0.0,25.55902392622972,1.7319479184152442e-17
10,S1,symptom_based_TTI,0.0,2.0987356772698917,4.154302670623146,1886.604,339.912,90.20400000000001,6039.264,84.0,0.0,32.71357900147944,8.849985604123312
11,S1,symptom_based_TTI,0.0,1.9255259480177394,3.955109273479031,1827.516,340.368,89.184,5896.968,80.352,0.0,32.609453708420865,8.62356113165068
12,S1,symptom_based_TTI,0.25,1.8731408753757512,3.9720238095238094,1764.36,294.096,89.904,5670.744,80.076,0.0,34.48755847062914,7.825921481795692
13,S1,symptom_based_TTI,0.25,1.8985648128421726,3.7827997489014438,1725.54,312.6,90.50399999999999,5411.28,72.312,0.0,28.949418807984284,7.069616229724733
14,S1,symptom_based_TTI,0.5,1.815756524414202,3.6066547831253715,1709.82,270.64799999999997,89.904,5681.76,72.84,0.0,28.710587712142328,7.458393520788427
15,S1,symptom_based_TTI,0.5,1.8036705555000205,3.6017804154302673,1662.132,262.476,89.064,5376.216,72.828,0.0,29.150523187146682,7.207258180642882
16,S1,symptom_based_TTI,0.75,1.6994360756106048,3.3608978145304196,1626.06,253.668,88.932,5320.392,68.28,0.0,26.798278409974174,6.955978277920761
