,strategy,gov_policy,app,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.1,2.337153551720702,4.122965641952984,0.0,0.0,0.0,840.288,82.08000000000001,0.0,35.55194709234426,-5.3290705182007515e-18
1,S1,no_TTI,0.1,2.3547408459573766,3.9695704057279237,0.0,0.0,0.0,851.472,79.836,0.0,32.47745210610522,2.6645352591003758e-18
2,S1,no_TTI,0.2,2.383027577006121,4.0643105446118195,0.0,0.0,0.0,821.856,84.18,0.0,34.822732825049215,-2.7977620220553945e-17
3,S1,no_TTI,0.2,2.4211883113686974,3.824188790560472,0.0,0.0,0.0,818.28,77.784,0.0,28.537029746760684,-2.6645352591003756e-17
4,S1,no_TTI,0.3,2.3652726150668584,3.928786964393482,0.0,0.0,0.0,825.7439999999999,78.12,0.0,31.08891932201057,-1.3322676295501878e-17
5,S1,no_TTI,0.3,2.4599926083890034,4.042915931804821,0.0,0.0,0.0,838.296,82.524,0.0,32.310630877563646,-5.195843755245732e-17
6,S1,no_TTI,0.4,2.240586869269678,3.777332570120206,0.0,0.0,0.0,819.96,79.188,0.0,32.216336872630464,3.1974423109204506e-17
7,S1,no_TTI,0.4,2.2990594155017434,3.9889083479276124,0.0,0.0,0.0,844.3199999999999,81.99600000000001,0.0,34.736534654946155,-1.5987211554602253e-17
8,S1,no_TTI,0.5,2.3497966364162264,3.7795603089720737,0.0,0.0,0.0,799.368,76.332,0.0,28.875507130937876,2.6645352591003758e-18
9,S1,no_TTI,0.5,2.2036642692402113,3.793536804308797,0.0,0.0,0.0,836.832,76.068,0.0,31.880124073195258,3.996802888650563e-18
10,S1,no_TTI,0.6,2.310246396112692,3.935347432024169,0.0,0.0,0.0,816.408,78.156,0.0,32.274506573201926,5.3290705182007515e-18
11,S1,no_TTI,0.6,2.386455701176913,3.8969325153374235,0.0,0.0,0.0,821.304,76.224,0.0,29.544926484979584,-2.6645352591003756e-17
12,S1,no_TTI,0.7,2.2553127934296486,3.7979334098737083,0.0,0.0,0.0,826.608,79.392,0.0,32.24694136614661,-7.993605777301126e-18
13,S1,no_TTI,0.7,2.390368302345706,3.8739495798319328,0.0,0.0,0.0,814.944,77.448,0.0,29.65975689950464,2.7977620220553945e-17
14,S1,no_TTI,0.8,2.4062563101584744,3.994705882352941,0.0,0.0,0.0,839.136,81.492,0.0,32.40437127276711,1.4654943925052067e-17
15,S1,no_TTI,0.8,2.2421427359428936,3.736276849642005,0.0,0.0,0.0,800.568,75.14399999999999,0.0,30.050025294716516,5.195843755245732e-17
16,S1,no_TTI,0.9,2.272457090450107,3.730424387328153,0.0,0.0,0.0,847.5360000000001,74.892,0.0,29.27015145212362,3.9968028886505634e-17
17,S1,no_TTI,0.9,2.2928000693425465,3.862590799031477,0.0,0.0,0.0,833.232,76.572,0.0,31.11953142535335,3.996802888650563e-18
18,S1,symptom_based_TTI,0.1,1.9982607326490462,3.932752179327522,1780.176,25.02,89.004,5324.04,75.792,0.0,30.331873202015164,6.9496459583724075
19,S1,symptom_based_TTI,0.1,2.028478333300091,3.8546583850931677,1761.432,28.056,90.0,5410.656,74.47200000000001,0.0,28.3575763427621,6.924222257880132
20,S1,symptom_based_TTI,0.2,1.910230431220238,3.738861386138614,1799.616,100.08,89.904,5542.7519999999995,72.50399999999999,0.0,28.22012773316916,7.240683744607958
21,S1,symptom_based_TTI,0.2,1.9088563521012893,3.741154562383613,1727.964,99.85199999999999,89.22,5268.455999999999,72.324,0.0,28.643367797147686,6.778621204030158
22,S1,symptom_based_TTI,0.3,1.836670668699368,3.768634466308885,1733.664,237.348,89.46000000000001,5541.12,75.84,0.0,31.549783876794677,7.329055586299226
23,S1,symptom_based_TTI,0.3,2.0142152405399054,4.044226044226044,1750.896,210.708,89.724,5693.04,79.008,0.0,31.129356857474,8.528934203338386
