,strategy,gov_policy,day_symptoms_reporting,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,1,1.4015330188679245,3.546580188679245,0.0,0.0,0.0,793.2719999999999,72.18,0.0,43.656,0.0
1,S1,no_TTI,1,1.5523576240048989,3.865278628291488,0.0,0.0,0.0,779.424,75.744,0.0,45.324,0.0
2,S1,no_TTI,2,1.6496259351620948,3.8435162094763093,0.0,0.0,0.0,782.16,73.98,0.0,42.228,0.0
3,S1,no_TTI,2,1.6483644859813085,3.9351635514018692,0.0,0.0,0.0,813.048,80.844,0.0,46.980000000000004,0.0
4,S1,no_TTI,3,2.0988816951147733,3.9894055326662743,0.0,0.0,0.0,824.016,81.336,0.0,38.544,0.0
5,S1,no_TTI,3,1.8113091579594345,3.724646588813768,0.0,0.0,0.0,821.736,72.72,0.0,37.356,0.0
6,S1,no_TTI,4,2.3117338003502628,3.7746643315820196,0.0,0.0,0.0,842.304,77.592,0.0,30.072,0.0
7,S1,no_TTI,4,2.4512946979038226,4.035758323057953,0.0,0.0,0.0,828.456,78.55199999999999,0.0,30.84,0.0
8,S1,symptom_based_TTI,1,1.4319136172765448,3.7336532693461306,0.0,0.0,89.32799999999999,776.496,74.68799999999999,0.0,46.044,0.0
9,S1,symptom_based_TTI,1,1.5249406175771971,3.6739904988123517,0.0,0.0,89.976,791.064,74.244,0.0,43.428,0.0
10,S1,symptom_based_TTI,2,1.520258367586612,3.942454492072813,594.336,102.984,89.94000000000001,2482.1040000000003,80.568,0.0,48.372,1.1280000000000001
11,S1,symptom_based_TTI,2,1.598526703499079,3.889502762430939,566.916,98.508,89.48400000000001,2329.944,76.03200000000001,0.0,43.74,1.044
12,S1,symptom_based_TTI,3,1.802391441157961,3.910006293266205,1162.176,203.964,90.384,3918.2400000000002,74.556,0.0,35.928,4.26
13,S1,symptom_based_TTI,3,1.7755474452554745,3.8570559610705595,1146.0120000000002,201.948,90.132,3921.552,76.092,0.0,36.864,4.2
14,S1,symptom_based_TTI,4,1.967569382091518,4.0215182307232515,1725.816,291.6,89.208,5697.864,80.73599999999999,0.0,31.704,9.531077085130635
15,S1,symptom_based_TTI,4,1.9171712935506562,3.8227997637330184,1733.52,309.444,89.928,5641.824,77.664,0.0,29.352,9.362748000224828
16,S1,test_based_TTI,1,1.6171224732461356,3.9500594530321047,0.0,0.0,89.892,803.28,79.728,0.0,47.088,0.0
17,S1,test_based_TTI,1,1.5042348955392433,3.875211744776962,0.0,0.0,89.304,806.424,82.35600000000001,0.0,50.388,0.0
18,S1,test_based_TTI,2,1.6219898042446184,4.011911852293031,66.708,10.716000000000001,89.94000000000001,1581.7199999999998,80.832,0.0,46.968,1.184149424079393
19,S1,test_based_TTI,2,1.6608553821559087,3.9603365384615383,60.828,10.452,89.28,1504.3439999999998,79.08,0.0,44.868,1.0480397291107901
20,S1,test_based_TTI,3,1.734954435567255,4.071596244131455,137.46,21.96,89.904,2423.8559999999998,83.256,0.0,42.839999999999996,4.939651701520725
21,S1,test_based_TTI,3,1.676527742405659,3.7080597014925374,116.22,21.336000000000002,90.3,2201.304,74.532,0.0,36.696000000000005,4.137792377646215
22,S1,test_based_TTI,4,2.0532130456452227,3.948973607038123,197.16,30.54,89.28,3145.368,80.796,0.0,29.88,8.907261086098615
23,S1,test_based_TTI,4,1.927431410004284,4.002355712603062,206.628,34.332,89.83200000000001,3251.856,81.55199999999999,0.0,32.952,9.326657589752589
24,S1,test_based_TTI_test_contacts,1,1.4333135743924126,3.811499703615886,0.0,0.0,90.132,806.4,77.16,0.0,48.144,0.0
25,S1,test_based_TTI_test_contacts,1,1.5239503252513307,3.770549970431697,0.0,0.0,88.476,761.2800000000001,76.512,0.0,45.588,0.0
26,S1,test_based_TTI_test_contacts,2,1.4920793842806523,3.709483793517407,60.24,9.948,140.052,898.7040000000001,74.16,0.0,43.284000000000006,1.0463489494612048
27,S1,test_based_TTI_test_contacts,2,1.4121082082890952,3.6797583081570995,62.687999999999995,9.0,140.28,885.36,73.08,0.0,43.896,1.1395309833785632
28,S1,test_based_TTI_test_contacts,3,1.7162144486889268,3.6664736537348004,116.83200000000001,20.496000000000002,183.612,1028.0639999999999,75.984,0.0,36.66,3.7571717653706163
29,S1,test_based_TTI_test_contacts,3,1.726977924949093,3.8487446417636253,124.26,18.024,190.908,1008.216,75.41999999999999,0.0,37.2,4.3781405826975535
30,S1,test_based_TTI_test_contacts,4,2.02663909693368,3.8593939393939394,177.612,31.14,234.324,1124.448,76.416,0.0,28.823999999999998,7.464545880713059
31,S1,test_based_TTI_test_contacts,4,2.1019548879094248,4.191051995163241,194.256,31.163999999999998,246.312,1152.456,83.184,0.0,32.232,9.232399384773686
32,S2,no_TTI,1,1.2560975609756098,3.5865853658536584,0.0,0.0,0.0,771.408,70.58399999999999,9.228,36.636,0.0
33,S2,no_TTI,1,1.346788990825688,3.637308868501529,0.0,0.0,0.0,772.392,71.364,9.876,35.064,0.0
34,S2,no_TTI,2,1.358433734939759,3.7066265060240964,0.0,0.0,0.0,809.4,73.836,8.388,38.388000000000005,0.0
35,S2,no_TTI,2,1.3991912189485847,3.5956094742923166,0.0,0.0,0.0,800.16,74.68799999999999,8.388,37.236000000000004,0.0
36,S2,no_TTI,3,1.6838747099767981,3.9164733178654294,0.0,0.0,0.0,811.704,81.024,9.612,36.576,0.0
37,S2,no_TTI,3,1.6165327210103329,3.838691159586682,0.0,0.0,0.0,845.616,80.244,10.272,36.18,0.0
