,strategy,gov_policy,mt,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,True,2.3242069675867576,3.8813857897827364,0.0,0.0,90.0,830.952,79.32000000000001,0.0,31.822506410397015,-1.0658141036401503e-17
1,S1,no_TTI,True,2.363640744168278,3.984597156398104,0.0,0.0,89.232,821.808,80.712,0.0,32.83409308612736,1.865174681370263e-17
2,S1,no_TTI,True,2.2666519272124908,3.896265560165975,0.0,0.0,89.46000000000001,828.048,78.876,0.0,32.98989838551034,-2.6645352591003758e-18
3,S1,no_TTI,False,2.2719954765253605,3.8048632218844984,0.0,0.0,0.0,811.368,75.108,0.0,30.258809293389376,2.6645352591003756e-17
4,S1,no_TTI,False,2.4506232341673266,4.062314540059347,0.0,0.0,0.0,829.056,82.14,0.0,32.58839820513665,3.996802888650563e-18
5,S1,no_TTI,False,2.2623323251206338,3.9305153445280836,0.0,0.0,0.0,833.28,81.45599999999999,0.0,34.57142489419996,-2.1316282072803006e-17
6,S1,symptom_based_TTI,True,1.8382074006812739,3.8704693998811646,1804.38,315.612,89.544,5801.64,78.16799999999999,0.0,33.061984714237546,7.981578621603413
7,S1,symptom_based_TTI,True,2.1468150178244145,3.9402074435631484,1690.476,287.35200000000003,88.284,5335.728,77.49600000000001,0.0,28.16281305301728,7.109629176412116
8,S1,symptom_based_TTI,True,1.9161228459315351,3.8191230207064555,1761.24,310.332,89.43599999999999,5799.24,75.252,0.0,29.72380381706076,7.7729116267042855
9,S1,symptom_based_TTI,False,2.2112201610778772,3.981606376456162,0.0,282.66,89.88,1560.216,77.928,0.0,33.349846064877305,1.300152942506471
10,S1,symptom_based_TTI,False,2.3390518020083486,4.05011655011655,0.0,279.492,88.8,1562.16,83.39999999999999,0.0,33.58509873530523,1.6491465577388411
11,S1,symptom_based_TTI,False,2.34838183771142,3.8841911764705883,0.0,297.324,89.196,1577.5919999999999,76.068,0.0,28.665895414184583,1.4113946760749385
12,S1,test_based_TTI,True,2.036397970771901,3.9203647416413374,204.66,32.148,89.52,3213.0480000000002,77.388,0.0,30.433862178540007,6.755641878422604
13,S1,test_based_TTI,True,2.042517069701608,3.8265060240963855,184.56,31.548000000000002,89.316,2986.272,76.224,0.0,29.292771803923994,6.244288167619924
14,S1,test_based_TTI,True,2.086799429798589,3.8694074969770256,175.98,30.203999999999997,89.52,2871.12,76.8,0.0,29.431497339510035,5.949707577847541
15,S1,test_based_TTI,False,2.271141395173047,3.7968291250734,0.0,40.403999999999996,89.32799999999999,1263.432,77.592,0.0,29.60603638788018,1.57291806036342
16,S1,test_based_TTI,False,2.248540121127807,3.950877192982456,0.0,31.955999999999996,89.604,1222.752,81.072,0.0,33.756939519208274,1.1750171952491095
17,S1,test_based_TTI,False,2.2810718196068414,4.027794204612655,0.0,34.728,90.50399999999999,1236.216,81.732,0.0,34.134802282506364,1.3096883540315563
18,S1,test_based_TTI_test_contacts,True,1.9122750733455542,3.6590636254501803,180.744,33.120000000000005,236.268,1107.48,73.152,0.0,29.232836103656265,5.68896063001935
19,S1,test_based_TTI_test_contacts,True,2.0385804822690634,3.8230303030303032,183.804,35.952,239.064,1125.336,75.696,0.0,29.449430239317554,5.882676211754954
20,S1,test_based_TTI_test_contacts,True,2.081128462654243,3.8578978273634763,190.872,28.308,242.25600000000003,1155.8880000000001,78.84,0.0,30.355709073527436,5.954349663670411
21,S1,test_based_TTI_test_contacts,False,2.139737814487025,3.663845223700121,0.0,30.66,112.476,876.528,72.72,0.0,29.013529931426888,1.2369539266345861
22,S1,test_based_TTI_test_contacts,False,2.212397912982267,3.691411042944785,0.0,35.736000000000004,116.34,862.7520000000001,72.20400000000001,0.0,27.626673546395708,1.3028232756711347
23,S1,test_based_TTI_test_contacts,False,2.1965099664680277,3.8183520599250937,0.0,36.24,118.152,891.984,73.404,0.0,29.997747892130626,1.1805445124879705
24,S2,no_TTI,True,1.9857660696509938,3.779620853080569,0.0,0.0,89.43599999999999,824.0640000000001,76.56,10.847999999999999,25.48832249314945,1.3322676295501878e-17
25,S2,no_TTI,True,2.061256181652636,4.090909090909091,0.0,0.0,89.568,846.24,82.08000000000001,11.052,29.670955971321504,3.996802888650563e-18
26,S2,no_TTI,True,2.029930041868513,4.0083782166367445,0.0,0.0,89.268,835.104,80.37599999999999,11.628,28.04384280045256,3.4638958368304884e-17
27,S2,no_TTI,False,2.077995601075067,3.935225169648365,0.0,0.0,0.0,821.592,76.548,9.756,26.37082956788779,4.39648317751562e-17
28,S2,no_TTI,False,2.0750503453386924,4.1340083382966055,0.0,0.0,0.0,817.0559999999999,83.292,11.748,29.735885642116013,2.6645352591003758e-18
29,S2,no_TTI,False,1.899441667493565,3.5773630343166767,0.0,0.0,0.0,799.536,71.30399999999999,9.288,24.15632868351825,-3.996802888650563e-18
30,S2,symptom_based_TTI,True,1.642045803699705,3.743830787309048,1633.872,253.8,89.652,5297.304,76.464,9.276,26.47111241168943,7.179744093547781
31,S2,symptom_based_TTI,True,1.6920799979369203,3.7674556213017754,1722.708,260.868,88.896,5442.408,76.40400000000001,8.82,26.41730792888341,6.851309712955846
32,S2,symptom_based_TTI,True,1.5695146983917505,4.009456264775413,1654.7160000000001,255.56400000000002,90.14399999999999,5405.255999999999,81.408,11.556,30.00582294499821,7.9787506188556625
33,S2,symptom_based_TTI,False,1.9118091947711786,3.9826347305389223,0.0,263.94,89.988,1572.768,79.812,10.200000000000001,30.054552487798667,1.2447912489869053
34,S2,symptom_based_TTI,False,1.7795314909521005,3.7055900621118014,0.0,250.30800000000002,90.348,1463.2800000000002,71.592,10.74,25.24156462511149,1.2298869696939236
35,S2,symptom_based_TTI,False,2.1196146420569826,4.031952662721894,0.0,235.452,89.12400000000001,1427.232,81.768,9.540000000000001,28.3562749963078,0.8859400627765511
36,S2,test_based_TTI,True,1.7774009826504937,3.8182912154031285,167.004,29.316,89.172,2778.912,76.152,8.496,26.911515394237746,5.295999407780774
37,S2,test_based_TTI,True,1.8306678600383308,4.032354703415218,201.44400000000002,28.368,89.11200000000001,3141.12,80.76,10.296,27.58776976258684,6.211614336565432
38,S2,test_based_TTI,True,1.734212412939961,3.88486646884273,174.99599999999998,26.195999999999998,90.024,2854.8720000000003,78.55199999999999,10.476,27.21590366715917,5.794321343194777
39,S2,test_based_TTI,False,1.8784291329923586,3.876443418013857,0.0,26.112,89.82000000000001,1143.504,80.568,8.988,31.714473352399622,0.8242555474871613
40,S2,test_based_TTI,False,1.9784495943481915,3.8519174041297934,0.0,31.812,89.48400000000001,1171.92,78.348,10.548,26.615063071734003,0.9432721792237648
41,S2,test_based_TTI,False,1.9208736685823338,3.811893203883495,0.0,19.752,89.976,1041.96,75.384,10.668000000000001,26.09838536309862,0.6304169670171254
42,S2,test_based_TTI_test_contacts,True,1.671640164260902,3.777511961722488,198.18,32.652,248.17199999999997,1154.1360000000002,75.792,8.532,27.821321537599676,5.898890206669545
43,S2,test_based_TTI_test_contacts,True,1.6100956493536107,3.7043988269794723,155.01600000000002,24.227999999999998,210.708,1085.136,75.792,12.372,25.119664917550548,5.357778096674521
44,S2,test_based_TTI_test_contacts,True,1.5532020880395478,3.704643962848297,165.096,17.952,221.61599999999999,1112.064,71.796,8.892,27.431249087772603,5.37169444602096
45,S2,test_based_TTI_test_contacts,False,1.895933587457973,3.802850356294537,0.0,23.412,107.016,856.272,76.848,10.476,27.247459441606786,0.8115146230424833
46,S2,test_based_TTI_test_contacts,False,1.9543850393843947,3.941415313225058,0.0,36.792,118.92,916.056,81.53999999999999,8.688,31.173413280702476,1.2462690245131591
47,S2,test_based_TTI_test_contacts,False,1.9863362373351994,3.9928952042628776,0.0,31.476,113.64,887.688,80.928,12.096,27.539312286576404,1.0336248551137657
48,S3,no_TTI,True,1.5734829527745853,3.7262334536702766,0.0,0.0,88.716,816.504,74.316,21.444,21.490455989863662,7.993605777301126e-18
49,S3,no_TTI,True,1.54829557638684,3.7955768081291095,0.0,0.0,89.79599999999999,836.712,76.2,24.864,20.252418008457784,4.5297099404706384e-17
50,S3,no_TTI,True,1.7039222277690906,4.078362573099415,0.0,0.0,88.98,812.928,83.688,24.852,23.87151588617824,5.3290705182007515e-18
51,S3,no_TTI,False,1.5683332020898537,4.000587889476779,0.0,0.0,0.0,868.4159999999999,81.66,23.291999999999998,26.355182678941894,-1.865174681370263e-17
52,S3,no_TTI,False,1.5383491328215,3.733009708737864,0.0,0.0,0.0,827.52,73.824,22.572,20.82960754932201,-1.865174681370263e-17
53,S3,no_TTI,False,1.6030124451742906,4.016129032258065,0.0,0.0,0.0,840.072,80.676,24.672,23.802686001338845,3.8635761256955445e-17
54,S3,symptom_based_TTI,True,1.2978615049252087,3.989665653495441,1417.4279999999999,200.448,90.78,4740.456,78.756,23.376,23.961064089236807,5.7991498035395965
55,S3,symptom_based_TTI,True,1.2548372534668661,3.875294117647059,1362.912,202.368,89.47200000000001,4476.264,79.05600000000001,25.764,21.681750646958317,6.011569382317619
56,S3,symptom_based_TTI,True,1.2460870195784899,3.739490822972173,1368.384,195.42000000000002,90.16799999999999,4422.215999999999,75.792,24.924,20.13023192443343,5.482076362749739
57,S3,symptom_based_TTI,False,1.4279690721305343,3.923258559622196,0.0,198.096,89.58000000000001,1350.1680000000001,79.752,27.060000000000002,23.06345636995243,0.6007883317780626
58,S3,symptom_based_TTI,False,1.5505772698312976,3.992744860943168,0.0,171.708,89.364,1285.7279999999998,79.248,24.323999999999998,23.187418630635896,0.9607237177524862
59,S3,symptom_based_TTI,False,1.487210968570666,3.801648028251913,0.0,197.22,89.78399999999999,1358.3760000000002,77.50800000000001,24.732,21.538289704643443,0.9164530681378116
