,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# PersonDays Quarantined
0,0.10828915604832323,0.3754553254389663,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,14.0,4.0936
1,0.6497748241202904,0.3005280749744188,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,67.2672
2,0.43239890330075315,0.2629763929240605,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,6.0,9.9608
3,0.44249738184240583,0.9181453883119028,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,12.0,3.0,6.2042
4,0.26195947559165067,0.5539942504060713,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,13.0,6.4804
5,0.686908197486434,0.45132402919333114,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,12.0,24.0764
6,0.6053486307039678,0.4572829501527428,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,53.9822
7,0.1109996131952814,0.39819369751502753,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.5434
8,0.8400519751673058,0.3085371939231101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,10.0,3.827
9,0.14016099661266734,0.8800175534687564,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,8.0,18.0856
10,0.06175712643543518,0.7852783297119628,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,41.8936
11,0.9300585425845056,0.04890875820816387,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,32.3329
12,0.8613509442137998,0.2831824222656508,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,14.0,29.785
13,0.35249779877855747,0.44147259723295873,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,14.0,5.4944
14,0.1813395971182521,0.8951393459349368,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,4.9044
15,0.4326527452858351,0.8696665766437268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0
16,0.6919155665989787,0.8503309940412432,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,10.0,4.6628
17,0.32075399275256034,0.7108627602702688,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,16.7436
18,0.10925405159039947,0.9846463344958389,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,5.0,15.4535
19,0.25384850705023,0.8100063023037035,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,14.0,5.0,51.9833
20,0.811962488294108,0.3617856292488053,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,21.8065
21,0.4030688896292194,0.45000495742259206,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,8.0,64.9878
22,0.16055615713581117,0.5129368435378789,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,4.9614
23,0.15149367875134534,0.85275028854416,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,15.0,11.0,42.7583
24,0.975478856120537,0.08141647344063452,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,12.0,30.5226
25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.7126
26,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.7126
27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,6.0,1.2474
28,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.7126
29,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.7126
30,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.7126
31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,6.0,1.2474
