,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# Manual Traces
0,0.5508011359265393,0.6480308241745564,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,19.0,14.0,10.473
1,0.25134484774361165,0.6343414087861435,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,19.0,1.0,0.0
2,0.684407066969178,0.5275305888911352,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0
3,0.8271142387513106,0.6167627928064447,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,18.0,8.0,36.534
4,0.8788765258536103,0.6585313839120598,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,6.3065
5,0.041921024158938947,0.6380005270232392,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,12.0,0.0
6,0.9938292630746445,0.36109234137872837,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,12.286
7,0.6274435459604442,0.12852870082514367,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,14.0,0.0
8,0.3578782742128118,0.18203922745840284,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,6.0,13.2981
9,0.7211770147625216,0.46964498065514615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0
10,0.31585897459089785,0.8563029443047966,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,13.0,0.0
11,0.18974642155779842,0.4275297452075547,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0
12,0.32367899116137255,0.8476514741716503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,0.0
13,0.5451326048979837,0.4800503461134288,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0
14,0.967908020615535,0.44528952961976886,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,0.0
15,0.9106176117622771,0.2643531564763154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0
16,0.39062526161054145,0.6195491816204916,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,9.0,9.911
17,0.3902368582770501,0.4295624602654665,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
18,0.7524923847902055,0.8117134648620358,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,8.7346
19,0.17651883758772013,0.6705269314222565,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,7.0,8.2453
20,0.26119512744788076,0.6707178975653904,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,6.0,0.0
21,0.4148792260682157,0.7370117061721588,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,6.0,0.9317
22,0.46113158128361276,0.47804498001991913,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,20.0,14.0,3.9336
23,0.9885787709743258,0.8162955293635729,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0
24,0.19719658799839113,0.4123099409282638,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,8.0,1.0998
