,strategy,gov_policy,gts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.0,2.0348359060539414,3.8532002348796244,0.0,0.0,0.0,821.1840000000001,78.744,9.618,27.542093423881678,-1.2656542480726785e-17
1,S1,no_TTI,0.0,1.9573478076515154,3.8207853557720695,0.0,0.0,0.0,839.388,77.646,9.036000000000001,28.83277785290593,9.992007221626408e-18
2,S1,no_TTI,0.25,2.134616261674413,3.8310852237890867,0.0,0.0,0.0,829.26,74.982,5.664,27.53929052650843,6.661338147750939e-19
3,S1,no_TTI,0.25,2.1517326945611566,3.923240291262136,0.0,0.0,0.0,812.184,77.586,6.366,28.6673342323586,6.661338147750939e-17
4,S1,no_TTI,0.5,2.226298757805989,3.8944211157768445,0.0,0.0,0.0,835.7760000000001,77.904,4.272,29.09711964884902,-3.3306690738754695e-18
5,S1,no_TTI,0.5,2.214487312775249,3.8109915673160804,0.0,0.0,0.0,818.7479999999999,78.636,4.152,28.79026878819553,2.2648549702353192e-17
6,S1,no_TTI,0.75,2.2340074001350865,3.902951019166413,0.0,0.0,0.0,835.572,76.97399999999999,2.1599999999999997,30.754906054535855,-5.329070518200751e-17
7,S1,no_TTI,0.75,2.2907549434973866,3.9218241042345277,0.0,0.0,0.0,844.668,79.464,2.538,30.510723334856024,6.661338147750939e-18
8,S1,no_TTI,1.0,2.3627636973990214,3.934269495070212,0.0,0.0,0.0,823.2,79.008,0.0,31.55897942883287,3.26405569239796e-17
9,S1,no_TTI,1.0,2.3722169228627137,3.9651269501376567,0.0,0.0,0.0,820.944,77.772,0.0,31.24333727497077,1.865174681370263e-17
10,S1,symptom_based_TTI,0.0,1.7047304049497403,3.786476868327402,1503.75,283.692,89.49600000000001,4883.472,76.60799999999999,9.228,26.489099467990876,6.400794979065971
11,S1,symptom_based_TTI,0.0,1.826649033265722,4.008230452674897,1460.8200000000002,264.216,89.46000000000001,4994.04,81.816,8.298,29.3343595708012,6.898080362178908
12,S1,symptom_based_TTI,0.25,1.749593902783551,3.864610866372981,1514.7720000000002,275.46000000000004,89.91,5001.924,78.95400000000001,6.456,29.818968251025364,6.9348283151067065
13,S1,symptom_based_TTI,0.25,1.764240326326872,3.8757147156184173,1521.774,267.996,89.274,5068.656,77.274,7.008,28.31884823517035,6.771728138524469
14,S1,symptom_based_TTI,0.5,1.8711489642805057,3.902989449003517,1643.2800000000002,287.082,89.83200000000001,5285.964,79.902,4.901999999999999,29.634339737180177,7.059498666069319
15,S1,symptom_based_TTI,0.5,1.7483391622636204,3.6750517904705533,1607.4119999999998,283.40999999999997,89.286,5234.496,74.508,3.6540000000000004,28.46061720520024,6.9475546190671205
16,S1,symptom_based_TTI,0.75,1.8897110944956783,3.8301146650573323,1704.582,300.15000000000003,89.232,5570.184,76.158,1.554,29.258110918408615,7.770873678639317
17,S1,symptom_based_TTI,0.75,1.8338601093228533,3.8589591957421643,1739.9399999999998,302.82,90.12,5578.104,78.306,2.814,30.68358936215747,7.595721299463194
18,S1,symptom_based_TTI,1.0,1.9526472439526512,3.8605350165314096,1761.168,290.88,89.178,5604.012,77.064,0.0,30.211210540844963,7.874045175372234
19,S1,symptom_based_TTI,1.0,1.8864433889901993,3.799385560675883,1787.208,287.30400000000003,90.048,5721.036,74.202,0.0,29.530822617260817,7.828937995760606
20,S1,test_based_TTI,0.0,1.9314930723072645,3.9336966394187103,159.012,31.200000000000003,89.46600000000001,2699.124,77.958,7.722,26.72655834160181,5.231111951412847
21,S1,test_based_TTI,0.0,1.8346662245870682,4.046969696969697,166.15200000000002,33.606,89.904,2800.38,80.13,9.318,28.826429855632206,5.6591788975438835
22,S1,test_based_TTI,0.25,1.8820451531756404,4.042143287176399,169.242,30.96,89.664,2821.08,80.568,7.416,29.974859424569786,5.664216582333358
23,S1,test_based_TTI,0.25,1.9068480961729228,3.8780413625304138,164.352,30.774,89.05199999999999,2765.616,76.506,5.934,27.668114669474125,5.285586089226484
24,S1,test_based_TTI,0.5,1.9142789156870001,3.983664983664984,180.40800000000002,30.509999999999998,89.502,2950.7400000000002,80.478,4.2540000000000004,31.945811762177428,5.605925583113778
25,S1,test_based_TTI,0.5,1.7899202796308404,3.8504443763407905,172.296,29.682,89.934,2861.9759999999997,75.384,4.2299999999999995,30.393114469772197,5.717826295615157
26,S1,test_based_TTI,0.75,2.088833655322315,4.040810247244564,184.938,33.858000000000004,89.358,3013.9919999999997,81.39,1.7040000000000002,31.560371796450887,6.052340718047107
27,S1,test_based_TTI,0.75,1.9178170827422152,3.787748851454824,178.65,29.436,89.982,2929.932,74.202,1.8960000000000001,29.13035352097683,5.6056098281032005
28,S1,test_based_TTI,1.0,2.06880387656226,3.9403655978423733,181.2,31.157999999999998,89.442,2958.996,78.89399999999999,0.0,31.459730565642655,6.012678217827748
29,S1,test_based_TTI,1.0,2.0705495278688324,3.9728052024830034,200.376,31.715999999999998,89.68199999999999,3168.156,80.64,0.0,32.04581975964262,6.566165923675816
30,S1,test_based_TTI_test_contacts,0.0,1.8008025102651233,3.9250881316098707,157.644,29.868000000000002,219.612,1115.964,80.166,9.006,28.811131200740252,5.569278329604928
31,S1,test_based_TTI_test_contacts,0.0,1.8393762651812373,3.9196217494089836,158.898,26.31,217.68,1091.94,79.584,8.604,28.639565033823924,4.993739277936255
32,S1,test_based_TTI_test_contacts,0.25,1.8558574697812456,3.8909365558912388,156.354,28.728,218.46599999999998,1084.764,77.274,6.054,29.112448149545134,5.250222500599341
33,S1,test_based_TTI_test_contacts,0.25,1.9943937266027794,4.116797110174594,175.62,31.104,232.14000000000001,1121.52,82.056,6.192,30.63564866272519,5.476095578628225
34,S1,test_based_TTI_test_contacts,0.5,1.9171121475357187,3.912311780336581,201.012,36.222,252.426,1161.18,79.506,4.848,28.75545636367256,6.942990574106559
35,S1,test_based_TTI_test_contacts,0.5,1.7994511549156444,3.772740740740741,168.456,31.608000000000004,227.304,1123.704,76.39800000000001,3.864,30.443451966693083,5.651662146265155
36,S1,test_based_TTI_test_contacts,0.75,2.0398286567010735,3.891962725684333,177.666,32.586,234.14999999999998,1119.696,80.19,2.004,30.294950467491788,5.862419889839352
37,S1,test_based_TTI_test_contacts,0.75,2.0425572910758123,4.011996308828053,194.70000000000002,39.018,249.33599999999998,1142.7,78.258,2.13,30.006068510678915,6.279808969596274
38,S1,test_based_TTI_test_contacts,1.0,1.928695371854338,3.7249114521841795,179.952,30.12,236.502,1125.3600000000001,75.72,0.0,31.143145897980176,5.370334582964853
39,S1,test_based_TTI_test_contacts,1.0,2.0218256528612306,3.835780641294576,185.556,31.715999999999998,241.068,1141.98,76.8,0.0,30.083124138127467,6.235882640285
40,S2,no_TTI,0.0,1.7319583456997611,3.839568991319964,0.0,0.0,0.0,836.124,76.96799999999999,17.142,25.107163002102617,7.993605777301126e-18
41,S2,no_TTI,0.0,1.771161820082091,3.9308510638297873,0.0,0.0,0.0,844.728,79.812,18.678,25.172330405053287,-1.3322676295501879e-18
42,S2,no_TTI,0.25,1.8244599682557332,3.848181818181818,0.0,0.0,0.0,814.524,76.194,16.746000000000002,23.3236926285365,2.3314683517128286e-17
43,S2,no_TTI,0.25,1.8302304264102511,3.801869722557298,0.0,0.0,0.0,824.436,75.642,15.204,24.023735436141678,-1.9984014443252816e-18
44,S2,no_TTI,0.5,1.8784215910272775,3.74383186110265,0.0,0.0,0.0,814.212,73.74600000000001,12.468,24.27685149994471,3.3306690738754695e-18
45,S2,no_TTI,0.5,1.941383161024342,3.9322235434007133,0.0,0.0,0.0,828.8159999999999,79.368,15.036,25.14712227788473,-1.3322676295501879e-18
