,strategy,gov_policy,home_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.1,2.277079331631381,3.7817962628089212,0.0,0.0,0.0,855.624,75.288,0.0,29.95590466588246,-7.993605777301126e-18
1,S1,no_TTI,0.1,2.2515459965637317,3.716175586289838,0.0,0.0,0.0,851.496,74.16,0.0,29.228148092574166,0.0
2,S1,no_TTI,0.2,2.230774409425894,3.7868852459016393,0.0,0.0,0.0,828.384,74.84400000000001,0.0,30.754974572106633,-1.199040866595169e-17
3,S1,no_TTI,0.2,2.1715765161807967,3.5413936867182847,0.0,0.0,0.0,838.08,71.352,0.0,27.599076351989297,-1.4654943925052067e-17
4,S1,no_TTI,0.3,2.435924930672244,4.136529126213592,0.0,0.0,0.0,809.928,81.804,0.0,33.6311485710257,5.329070518200751e-17
5,S1,no_TTI,0.3,2.3043798898135983,3.8628783199505867,0.0,0.0,0.0,807.216,75.048,0.0,30.278507500701394,3.597122599785507e-17
6,S1,no_TTI,0.4,2.5276926098287236,4.113945578231292,0.0,0.0,0.0,816.7439999999999,87.084,0.0,33.577802835145555,5.3290705182007515e-18
7,S1,no_TTI,0.4,2.4425276507038656,4.079433497536946,0.0,0.0,0.0,804.5759999999999,79.5,0.0,31.900021143083055,-2.9309887850104134e-17
8,S1,no_TTI,0.5,2.458824320195695,4.213859020310633,0.0,0.0,0.0,806.376,84.648,0.0,35.255137055908875,-2.7977620220553945e-17
9,S1,no_TTI,0.5,2.507175431040295,4.336668628605062,0.0,0.0,0.0,803.856,88.416,0.0,37.29970731195045,-1.9984014443252817e-17
10,S1,no_TTI,0.6,2.6128817670562636,4.438995215311005,0.0,0.0,0.0,780.384,89.064,0.0,36.63914022578312,1.3322676295501878e-17
11,S1,no_TTI,0.6,2.431639682167268,4.191831683168317,0.0,0.0,0.0,770.232,81.288,0.0,34.133643283412326,5.995204332975844e-17
12,S1,no_TTI,0.7,2.692881534757432,4.593009478672986,0.0,0.0,0.0,762.168,93.036,0.0,38.488991631953475,1.5987211554602253e-17
13,S1,no_TTI,0.7,2.6602160912635897,4.4639045825486505,0.0,0.0,0.0,756.384,85.332,0.0,34.47930919940522,3.597122599785507e-17
