,strategy,gov_policy,latent,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,1,2.4220531849582425,3.9380421313506817,0.0,0.0,0.0,800.088,76.272,0.0,29.361673913728687,1.4654943925052067e-17
1,S1,no_TTI,1,2.276841298235471,3.7974607013301087,0.0,0.0,0.0,825.168,75.372,0.0,30.181253912622303,2.2648549702353192e-17
2,S1,no_TTI,2,2.3764833639416985,3.939655172413793,0.0,0.0,0.0,828.072,76.77600000000001,0.0,30.463092203504146,-1.3322676295501879e-18
3,S1,no_TTI,2,2.2806135510411654,3.7449664429530203,0.0,0.0,0.0,822.24,73.656,0.0,28.800892678122338,-3.597122599785507e-17
4,S1,no_TTI,3,2.3562822719449223,3.9139414802065406,0.0,0.0,0.0,849.72,81.864,0.0,32.580000000000005,0.0
5,S1,no_TTI,3,2.301955990220049,3.832518337408313,0.0,0.0,0.0,822.432,75.24,0.0,30.048000000000002,0.0
6,S1,no_TTI,4,2.276110444177671,3.6800720288115247,0.0,0.0,0.0,843.984,73.572,0.0,28.067999999999998,0.0
7,S1,no_TTI,4,2.289855072463768,3.729907773386034,0.0,0.0,0.0,802.6800000000001,67.944,0.0,26.232,0.0
8,S1,symptom_based_TTI,1,1.9706000913126132,3.8482418260333127,1676.628,296.20799999999997,89.47200000000001,5425.248,74.85600000000001,0.0,28.76337120810259,7.76051581568434
9,S1,symptom_based_TTI,1,2.0220649266114945,3.9867052023121388,1729.932,293.41200000000003,90.036,5713.392000000001,82.764,0.0,31.620333852082734,9.165598271462493
10,S1,symptom_based_TTI,2,2.0620879682441147,3.916715542521994,1711.296,294.12,90.17999999999999,5565.456,80.136,0.0,29.331710644204982,8.61396952552034
11,S1,symptom_based_TTI,2,1.8871290860565555,3.881437125748503,1714.212,288.852,89.64,5665.8,77.784,0.0,30.671765491689296,9.29416762373725
12,S1,symptom_based_TTI,3,1.8952702319660442,3.925903971547125,1720.0320000000002,308.88,89.136,5700.648,79.476,0.0,31.715999999999998,9.392149424079397
13,S1,symptom_based_TTI,3,1.8731641541560682,3.8665865384615383,1742.148,304.692,89.42399999999999,5637.744000000001,77.208,0.0,30.432,9.372658169811624
14,S1,symptom_based_TTI,4,1.964221824686941,3.822898032200358,1710.8760000000002,292.344,90.17999999999999,5536.824,76.932,0.0,28.067999999999998,9.335999999999999
15,S1,symptom_based_TTI,4,1.8311688311688312,3.8925619834710745,1772.232,295.092,89.84400000000001,5821.2,79.128,0.0,31.740000000000002,10.164
16,S1,test_based_TTI,1,2.1342725071580047,3.6934131736526945,172.44,24.648,89.652,2836.7279999999996,74.016,0.0,27.02227791881104,4.222901037742534
17,S1,test_based_TTI,1,2.199566664472515,3.896168108776267,182.352,29.436,90.0,2966.736,75.648,0.0,28.272513171531624,4.668700471070008
18,S1,test_based_TTI,2,1.9581750691535103,3.6890243902439024,168.312,27.3,91.08,2785.584,72.6,0.0,27.94647376280333,6.116640876255525
19,S1,test_based_TTI,2,2.1714865339709744,4.001210653753026,183.276,32.628,88.92,2967.792,79.32000000000001,0.0,29.5859650170711,6.68648593348823
