,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,2,1.765472942963333,3.712883435582822,0.0,0.0,0.0,799.752,72.624,14.004,24.087349235637188,1.3322676295501879e-18
1,S1,no_TTI,2,1.7936102034726034,3.822674418604651,0.0,0.0,0.0,833.2560000000001,78.89999999999999,16.788,25.09188540032546,-3.996802888650563e-18
2,S1,no_TTI,4,1.9188517345000622,3.6954682779456194,0.0,0.0,0.0,806.6400000000001,73.39200000000001,9.888,25.39560455282875,2.6645352591003756e-17
3,S1,no_TTI,4,1.8741822166922473,3.845873786407767,0.0,0.0,0.0,826.8,76.056,11.052,27.9401724826941,2.7977620220553945e-17
4,S1,no_TTI,6,1.9590153074291834,3.7825825825825827,0.0,0.0,0.0,823.5360000000001,75.57600000000001,8.076,28.358874157564916,-1.199040866595169e-17
5,S1,no_TTI,6,2.0450999340838774,3.8605095541401275,0.0,0.0,0.0,812.304,72.732,6.828,27.37431724185974,3.597122599785507e-17
6,S1,no_TTI,8,2.1247206948792554,3.832438878950507,0.0,0.0,0.0,840.024,77.12400000000001,6.216,28.15012073624986,-1.7319479184152442e-17
7,S1,no_TTI,8,2.256762467215018,3.870731707317073,0.0,0.0,0.0,829.056,76.176,5.448,26.314914645208432,-2.2648549702353192e-17
8,S1,no_TTI,10,2.1180816809451173,3.776589423648247,0.0,0.0,0.0,806.6400000000001,76.272,4.836,28.659222371632406,1.199040866595169e-17
9,S1,no_TTI,10,2.1582993103652885,3.892233594220349,0.0,0.0,0.0,813.264,77.58,4.716,29.84477814579906,-3.064215547965432e-17
10,S1,no_TTI,12,2.3748754551817477,3.998182919442762,0.0,0.0,0.0,819.648,79.212,2.532,29.628967481939192,6.661338147750939e-18
11,S1,no_TTI,12,2.193761773668692,3.866014951121334,0.0,0.0,0.0,841.752,80.676,4.319999999999999,30.57657930708171,2.2648549702353192e-17
12,S1,no_TTI,14,2.2799852994413174,3.8593844296922146,0.0,0.0,0.0,820.4399999999999,76.74,3.48,27.924772305908824,-1.199040866595169e-17
13,S1,no_TTI,14,2.204394817424487,3.865751789976134,0.0,0.0,0.0,844.536,77.748,2.5799999999999996,30.833211431958723,-3.730349362740526e-17
