,strategy,gov_policy,most_infectious_day,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,1,3.5701219512195124,3.7865853658536586,0.0,0.0,0.0,884.5680000000001,74.52,0.0,4.26,0.0
1,S1,no_TTI,1,3.5108043217286915,3.721488595438175,0.0,0.0,0.0,894.144,74.4,0.0,4.212,0.0
2,S1,no_TTI,2,3.133374308543331,3.96619545175169,0.0,0.0,0.0,850.8240000000001,77.43599999999999,0.0,16.26,0.0
3,S1,no_TTI,2,2.905275779376499,3.588129496402878,0.0,0.0,0.0,836.76,71.82000000000001,0.0,13.668,0.0
4,S1,no_TTI,3,2.5909899229401305,3.92886781268524,0.0,0.0,0.0,817.704,79.53599999999999,0.0,27.084000000000003,0.0
5,S1,no_TTI,3,2.539759036144578,3.781325301204819,0.0,0.0,0.0,845.4240000000001,75.324,0.0,24.732,0.0
6,S1,no_TTI,4,2.0581797235023043,3.8306451612903225,0.0,0.0,0.0,834.312,79.80000000000001,0.0,36.924,0.0
7,S1,no_TTI,4,2.194186765615337,3.966604823747681,0.0,0.0,0.0,810.96,76.96799999999999,0.0,34.392,0.0
8,S1,symptom_based_TTI,1,3.0673671199011125,3.8714462299134733,1727.292,309.012,89.592,5583.552000000001,75.16799999999999,0.0,3.648,11.964
9,S1,symptom_based_TTI,1,3.1015015015015015,3.908708708708709,1742.4360000000001,311.58,89.43599999999999,5761.512,78.096,0.0,4.008,12.120000000000001
10,S1,symptom_based_TTI,2,2.4235500878734624,3.8359695371997655,1791.984,291.516,88.98,5746.032,78.57600000000001,0.0,15.407999999999998,13.524
11,S1,symptom_based_TTI,2,2.554524361948956,3.9547563805104406,1790.94,312.876,90.072,5874.888,81.816,0.0,16.764,12.204
12,S1,symptom_based_TTI,3,2.072948328267477,3.923404255319149,1771.344,300.86400000000003,90.468,5621.304,77.448,0.0,27.528,9.0
13,S1,symptom_based_TTI,3,1.9110981987216735,3.757117954677513,1741.764,303.132,89.94000000000001,5685.384,77.592,0.0,28.332,9.792000000000002
14,S1,symptom_based_TTI,4,1.7998801677651288,3.817855002995806,1710.5040000000001,292.73999999999995,89.34,5581.104,76.464,0.0,32.676,7.74
15,S1,symptom_based_TTI,4,1.867992766726944,3.8673899939722722,1794.0240000000001,307.224,89.28,5688.72,76.99199999999999,0.0,32.556,7.248
16,S1,test_based_TTI,1,3.7627906976744185,4.016860465116279,213.852,39.42,89.508,3451.872,82.908,0.0,4.332,0.912
17,S1,test_based_TTI,1,3.431430253090053,3.68510888758093,175.73999999999998,30.228,89.94000000000001,2935.992,75.132,0.0,4.4399999999999995,0.7320000000000001
18,S1,test_based_TTI,2,3.0199757869249395,4.072639225181598,204.192,35.268,89.05199999999999,3224.568,80.73599999999999,0.0,14.244,6.624
19,S1,test_based_TTI,2,2.8817733990147785,3.8435960591133007,164.004,25.884,89.34,2763.456,74.904,0.0,11.975999999999999,6.768
20,S1,test_based_TTI,3,2.205325443786982,3.8816568047337277,185.68800000000002,32.436,90.17999999999999,3041.856,78.72,0.0,27.516000000000002,6.4799999999999995
21,S1,test_based_TTI,3,2.1332518337408315,3.7237163814180927,165.792,28.536,89.94000000000001,2784.4320000000002,73.104,0.0,24.072,7.152
22,S1,test_based_TTI,4,1.9049043062200957,3.8044258373205744,178.764,34.692,89.952,2930.544,76.332,0.0,33.312000000000005,4.8
23,S1,test_based_TTI,4,1.848353014294593,3.7221876942200125,171.192,32.148,89.83200000000001,2800.848,71.868,0.0,32.400000000000006,3.7800000000000002
24,S1,test_based_TTI_test_contacts,1,3.6142011834319527,3.8763313609467454,190.75199999999998,34.08,235.176,1214.904,78.612,0.0,4.319999999999999,0.996
25,S1,test_based_TTI_test_contacts,1,3.8095823095823094,4.052825552825553,198.51600000000002,31.128000000000004,242.43600000000004,1189.512,79.176,0.0,3.708,1.044
26,S1,test_based_TTI_test_contacts,2,2.742255266418835,3.93184634448575,182.436,30.12,232.032,1151.184,76.152,0.0,16.380000000000003,6.66
27,S1,test_based_TTI_test_contacts,2,2.786223277909739,3.844418052256532,195.264,31.248,240.576,1173.4560000000001,77.688,0.0,14.064,7.32
28,S1,test_based_TTI_test_contacts,3,2.2187134502923977,3.8105263157894735,202.548,28.32,252.12,1188.024,78.192,0.0,25.164,7.5
29,S1,test_based_TTI_test_contacts,3,2.2331042382588775,3.917525773195876,200.916,38.748000000000005,252.156,1196.88,82.08000000000001,0.0,27.828,7.4639999999999995
30,S1,test_based_TTI_test_contacts,4,1.955864570737606,4.000604594921403,187.692,33.132000000000005,240.51600000000002,1116.6239999999998,79.404,0.0,35.508,5.076
31,S1,test_based_TTI_test_contacts,4,2.027594481103779,4.009598080383923,202.98,30.84,256.332,1147.152,80.208,0.0,35.676,3.9719999999999995
32,S2,no_TTI,1,2.957875457875458,3.5457875457875456,0.0,0.0,0.0,828.072,69.696,8.028,3.528,0.0
33,S2,no_TTI,1,3.111962286387743,3.7855038302887447,0.0,0.0,0.0,842.16,77.088,10.056,3.66,0.0
34,S2,no_TTI,2,2.772511848341232,3.9579383886255926,0.0,0.0,0.0,839.5200000000001,80.172,10.536,13.475999999999999,0.0
35,S2,no_TTI,2,2.496034167175107,3.7553386211104334,0.0,0.0,0.0,856.488,73.86,9.815999999999999,14.952,0.0
36,S2,no_TTI,3,2.189749847467968,3.811470408785845,0.0,0.0,0.0,829.584,74.964,9.144,22.752,0.0
37,S2,no_TTI,3,2.040280210157618,3.793928779918272,0.0,0.0,0.0,840.816,77.988,11.772,24.276,0.0
38,S2,no_TTI,4,2.0796407185628745,4.0095808383233535,0.0,0.0,0.0,800.184,80.352,9.408,29.268,0.0
39,S2,no_TTI,4,1.8389303482587065,3.892412935323383,0.0,0.0,0.0,821.88,75.108,9.636,29.988,0.0
40,S2,symptom_based_TTI,1,2.386132695756127,3.7328153018529586,1649.184,237.072,90.072,5247.0,74.94000000000001,11.4,4.152,11.484
41,S2,symptom_based_TTI,1,2.5006016847172083,3.714199759326113,1744.8960000000002,272.796,89.03999999999999,5332.536,74.076,8.280000000000001,3.9000000000000004,12.024
42,S2,symptom_based_TTI,2,2.0652041438147473,4.037172455819622,1645.644,255.096,89.364,5414.544,79.5,12.108,15.204,11.52
43,S2,symptom_based_TTI,2,2.0811965811965814,3.952991452991453,1621.944,239.59199999999998,89.232,5228.951999999999,77.69999999999999,12.048,12.648,12.096
44,S2,symptom_based_TTI,3,1.831837223219629,4.040694195092759,1685.664,261.76800000000003,89.78399999999999,5342.952,81.024,11.22,23.663999999999998,9.408
45,S2,symptom_based_TTI,3,1.7240164415736934,3.7938931297709924,1681.548,262.176,89.544,5290.896000000001,77.532,9.636,24.672,7.992000000000001
46,S2,symptom_based_TTI,4,1.5071090047393365,3.968601895734597,1732.812,259.896,89.68799999999999,5498.016,80.388,10.379999999999999,33.036,6.444
47,S2,symptom_based_TTI,4,1.5707491082045184,4.071343638525565,1670.928,258.636,89.724,5510.928,82.176,10.764,32.44799999999999,7.26
48,S2,test_based_TTI,1,3.1739652069586084,3.8260347930413916,180.66,31.836,89.196,2942.448,76.536,8.796000000000001,3.492,0.756
49,S2,test_based_TTI,1,3.0029726516052317,3.721165279429251,168.804,24.516000000000002,89.12400000000001,2775.84,75.108,10.356,3.132,1.008
50,S2,test_based_TTI,2,2.517747858017136,4.056915544675642,169.788,24.264,88.812,2795.472,79.548,11.783999999999999,12.936,5.46
51,S2,test_based_TTI,2,2.345788849347568,3.9424673784104387,162.12,28.008,89.244,2722.9680000000003,79.764,10.296,15.467999999999998,6.54
52,S2,test_based_TTI,3,1.8813038130381303,3.76629766297663,167.004,26.916,89.76,2780.424,73.488,8.363999999999999,21.108,7.308000000000001
53,S2,test_based_TTI,3,1.8746101060511542,4.04865876481597,180.168,27.240000000000002,90.66,2933.784,77.88,11.604,22.944000000000003,7.272
54,S2,test_based_TTI,4,1.5483870967741935,3.8533724340175954,192.96,29.868000000000002,89.88,3069.312,78.84,9.42,33.588,4.152
55,S2,test_based_TTI,4,1.6205487448920024,3.9077641564506713,194.124,28.776000000000003,89.388,3087.0,80.328,11.76,28.956,6.3
