,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# Manual Traces
0,0.36380767580973983,0.7623996494780557,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,9.0,585.972
1,0.049721984787696516,0.4811073070591272,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,12.0,874.86
2,0.37868140030970876,0.28694576086228074,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,14.0,0.0
3,0.14837923965101996,0.2497514995539556,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,20.0,1.0,0.0
4,0.9345241304199348,0.19153356578457437,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,7.0,0.0
5,0.5989692460302029,0.08070613534399629,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,14.0,0.0
6,0.18974167062076275,0.9126000187818106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,10.0,0.0
7,0.6570436819258363,0.2308335891016431,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,7.0,0.0
8,0.578700386367374,0.031000046599003572,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,8.0,0.0
9,0.835838175236707,0.644782040198683,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,8.0,3786.708
10,0.8961525116123548,0.3730942277764422,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,0.0
11,0.4198584178266723,0.9994778595403563,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,13.0,790.2
12,0.5696009050320371,0.2282826676215023,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,6.0,0.0
13,0.9311282561097424,0.7118336534847559,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,3.0,0.0
14,0.2913486501702729,0.3869325164577826,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,12.0,0.0
15,0.1958124138981594,0.8283128156043605,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,20.0,13.0,3092.4
16,0.27303288177470153,0.3372659295522632,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,15.0,3.0,0.0
17,0.8109256224199993,0.0014805780075632935,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,11.0,0.0
18,0.7800419791034465,0.15372766687092465,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,4.0,206.268
19,0.8243866646022662,0.9450726274682603,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,4.0,1015.26
20,0.9869716339673873,0.4979715272413259,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,10.0,1526.856
21,0.06097683785666608,0.3331145836612124,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,1235.376
22,0.46992242655754846,0.5951852540137804,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,84.096
23,0.029551463611210083,0.06982490644571615,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,9.0,0.0
24,0.06201232315710126,0.9124619381225917,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,449.904
25,0.9890387696347049,0.35586024531805105,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,128.388
26,0.008945661602787758,0.983140705194514,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
27,0.4382709522963345,0.6152342344269427,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28,0.8741115778907408,0.3609358166756327,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
29,0.4934465737176106,0.5310736680252708,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,0.2786974427242679,0.5200833294030528,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
31,0.19900145274604708,0.16024814213775784,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
32,0.6791258597489445,0.509309174428586,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
33,0.998136038643412,0.7609082105949874,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34,0.5991416638100818,0.5753382540778806,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,0.6407985506023085,0.34127297051503624,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
36,0.022721486913344968,0.07340118239724058,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
37,0.7065516797622212,0.15524707615928635,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1192.416
38,0.44246656339692125,0.09673886370938745,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,0.9217119877199942,0.2038077877738167,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
40,0.6859426212393966,0.04480537556041808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41,0.9577763633011351,0.21363562187594176,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,0.8867420968981132,0.012145078353070438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0.8791740188315671,0.37008165461257925,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,0.5103603312168212,0.14178262777438266,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45,0.04270923929827175,0.8798327934277703,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
46,0.5890838860147228,0.5303691354349853,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
47,0.493685514270233,0.7045896588876851,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
48,0.7778115786445948,0.19361676304191056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,0.17217051826905327,0.5222000072104898,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
50,0.45778617576861114,0.692945303575467,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,0.8829403953142,0.46860892325304215,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2859.768
