,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# Manual Traces
0,0.8950816166280382,0.13352114600652676,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,19.0,7.0,48.3543
1,0.9270283620273019,0.1167752299607212,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,11.0,6.0,50.0284
2,0.6613993058126966,0.15109153556676624,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,6.0,45.7818
3,0.7862316422864222,0.7792516875279534,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,1.4672
4,0.32442808092918496,0.9371686030940239,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0,0.0
5,0.9194878032626941,0.2684422884466141,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,12.0,4.3317
6,0.7785251892215767,0.9259885170626952,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0
7,0.19052133461959586,0.08608037780723943,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,1.4594
8,0.3650153969626627,0.25261528569157565,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0,9.0,0.0
9,0.14481716068772565,0.9956524668647794,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,6.0,0.0
10,0.9519305700523816,0.9416451687444406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,0.0,0.0
11,0.3083904692671089,0.17796556267275543,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0
12,0.25142355136457306,0.13859737751517265,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,6.0,2.4026
13,0.21833970874080655,0.13283020822029679,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,15.0,5.0,0.0
14,0.18785553980126313,0.9630982724764044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0
15,0.8077036441310439,0.2947670564902444,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,19.0,2.0,4.9468
16,0.9041432627413978,0.9148937523323393,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0
17,0.9856495528642297,0.04494693846556652,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0
18,0.17895025875915693,0.6953581375343487,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0
19,0.19995586670406873,0.4908981212122965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0
20,0.9744331767969193,0.28713757628208236,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,5.0,14.3933
21,0.3938112402381315,0.9447261708604895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,5.0,0.0
22,0.23224468000154097,0.337711066187136,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,19.0,5.0,0.0
23,0.5193770240674211,0.8001670526064435,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0
24,0.9164536316747803,0.7120044777920203,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,18.2223
25,0.1294867166034373,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
26,0.12948842766554697,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
27,0.16782560461825427,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
28,0.16784583974030434,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
29,0.16785891950242274,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
30,0.6544607217463293,0.5146969539495886,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,10.0,37.3539
31,0.12949381098621013,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
32,0.16785970119526009,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
33,0.16787374984057257,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
34,0.6544607079091176,0.5146969620511203,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,10.0,37.3539
35,0.12947392898267265,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
36,0.12946764840929922,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
37,0.1295070026529227,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
38,0.16786234442770218,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
39,0.16784008375432924,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
40,0.12947507544125367,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
41,0.12948990022523382,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
42,0.16784000020001882,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
43,0.12948386936665632,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
44,0.12947150743082486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
45,0.12949406279426628,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
46,0.16786665237073092,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
47,0.16788676611079692,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
48,0.27354965677409515,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
49,0.1294999822856048,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
50,0.16785739590519433,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
51,0.6544603945101002,0.5146972516274678,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,10.0,37.3539
52,0.12949066571138557,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
53,0.167845488239765,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
54,0.1295188260201514,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
