,strategy,gov_policy,n_cases,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,10000,2.275066741999124,3.8028,0.0,0.0,0.0,2117.472,456.336,0.0,183.3279909601051,-5.861977570020827e-17
1,S1,no_TTI,10000,2.376925374430151,3.9156,0.0,0.0,0.0,2101.176,469.872,0.0,184.64095506838186,-1.0658141036401503e-17
2,S1,no_TTI,20000,2.343621467351254,3.89055,0.0,0.0,0.0,2112.1800000000003,466.86600000000004,0.0,185.63142391784982,7.7937656328686e-17
3,S1,no_TTI,20000,2.369151165246873,3.8786,0.0,0.0,0.0,2095.1279999999997,465.432,0.0,181.13386017037575,-4.662936703425658e-18
4,S1,no_TTI,30000,2.3318724222760805,3.9122666666666666,0.0,0.0,0.0,2149.336,469.472,0.0,189.64730932687016,6.52811138479592e-17
5,S1,no_TTI,30000,2.288193265660953,3.8567,0.0,0.0,0.0,2143.848,462.804,0.0,188.22080812068558,3.419486915845482e-17
6,S1,no_TTI,40000,2.3378450307637055,3.865075,0.0,0.0,0.0,2114.5319999999997,463.809,0.0,183.26759630835372,-9.325873406851316e-18
7,S1,no_TTI,40000,2.3194243890937636,3.872625,0.0,0.0,0.0,2111.382,464.71500000000003,0.0,186.38407330874665,4.0967229608668276e-17
8,S1,no_TTI,50000,2.3424987538480098,3.87028,0.0,0.0,0.0,2114.1456,464.4336,0.0,183.33374953823687,-1.5720758028692217e-17
9,S1,no_TTI,50000,2.326199025662629,3.89966,0.0,0.0,0.0,2122.6464,467.9592,0.0,188.8153169204828,2.6911806116913795e-17
10,S1,symptom_based_TTI,10000,1.9715098371277235,3.8681,1102.692,176.34,57.804,15046.416,464.172,0.0,182.1147929692775,45.476026575396574
11,S1,symptom_based_TTI,10000,1.9587952603784016,3.8728,1137.528,189.444,57.264,15441.384,464.736,0.0,182.93920901530285,46.74135973928985
12,S1,symptom_based_TTI,20000,1.9467102851560565,3.83475,1130.1000000000001,198.30599999999998,57.54,15384.600000000002,460.17,0.0,181.55612830915774,45.00863747211654
13,S1,symptom_based_TTI,20000,1.9297445121687917,3.8166,1116.558,204.294,57.414,15274.056,457.992,0.0,180.52722150535615,45.89543703439022
14,S1,symptom_based_TTI,30000,1.9420203489632146,3.889266666666667,1120.392,199.564,57.252,15308.047999999999,466.71200000000005,0.0,188.06526293263627,45.60429519177916
15,S1,symptom_based_TTI,30000,1.9521440609863214,3.8895,1143.8239999999998,200.452,57.756,15601.152,466.74,0.0,185.10607257433088,47.37664010731182
16,S1,symptom_based_TTI,40000,1.945830131018358,3.8691,1135.548,199.2,57.711,15468.516000000001,464.292,0.0,184.60043056999456,46.191953707801645
17,S1,symptom_based_TTI,40000,1.9178288750978965,3.867675,1127.973,191.52,57.303,15360.996,464.12100000000004,0.0,187.6908868948837,46.29064809336844
18,S1,symptom_based_TTI,50000,1.9275514998087218,3.84448,1135.4784,194.1768,57.3408,15442.324799999999,461.3376,0.0,182.9921589064511,47.0392611164992
19,S1,symptom_based_TTI,50000,1.9669300484165853,3.93498,1146.4248,200.45759999999999,57.576,15606.662400000001,472.19759999999997,0.0,188.6677473191801,47.498246870827536
20,S1,test_based_TTI,10000,1.9928841573551896,3.8706,1154.2199999999998,195.9,57.948,15778.56,464.472,0.0,186.88853803026544,38.4373630871137
21,S1,test_based_TTI,10000,2.018239002626928,3.8931,1126.8120000000001,199.14,56.844,15372.84,467.172,0.0,188.61900050263546,36.36431918213524
22,S1,test_based_TTI,20000,2.0210494963889736,3.81125,1106.5439999999999,193.68,57.51,15162.084,457.34999999999997,0.0,179.85020965718093,34.97385077614566
23,S1,test_based_TTI,20000,1.992644500558323,3.8612,1115.808,196.734,57.906,15295.476,463.34400000000005,0.0,188.62161711054955,35.60504282245482
