,strategy,gov_policy,wfh,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.0,2.35355596929638,3.909252669039146,0.0,0.0,0.0,831.912,79.092,0.0,31.474855629195652,7.993605777301126e-18
1,S1,no_TTI,0.0,2.3691333983589504,3.918910741301059,0.0,0.0,0.0,838.632,77.71199999999999,0.0,30.73208471054206,1.6653345369377347e-17
2,S1,no_TTI,0.25,2.118449293504013,3.975838115372999,0.0,0.0,0.0,833.4000000000001,78.984,9.066,27.832886335249306,-2.864375403532904e-17
3,S1,no_TTI,0.25,2.096532903695463,3.879413524835428,0.0,0.0,0.0,846.6600000000001,77.78999999999999,8.879999999999999,26.8703222150986,-3.996802888650563e-18
4,S1,no_TTI,0.5,1.8337975166843037,3.916517590936196,0.0,0.0,0.0,830.52,78.816,16.032,25.88065877424512,-6.661338147750939e-18
5,S1,no_TTI,0.5,1.7778371763355578,3.9772250524423134,0.0,0.0,0.0,837.9240000000001,79.63199999999999,19.337999999999997,24.698144055409493,-6.661338147750939e-18
6,S1,no_TTI,0.75,1.6163387502791695,4.020795660036167,0.0,0.0,0.0,805.5600000000001,80.046,27.294,20.573928159442296,-1.4654943925052067e-17
7,S1,no_TTI,0.75,1.5234499988795438,3.835458409228901,0.0,0.0,0.0,823.2239999999999,75.804,24.366,21.328534222144697,1.6653345369377347e-17
8,S1,no_TTI,1.0,1.2302296774885615,3.822870615974064,0.0,0.0,0.0,812.592,77.826,34.89,17.890984225687856,-5.3290705182007515e-18
9,S1,no_TTI,1.0,1.231941411095214,3.835008870490834,0.0,0.0,0.0,841.896,77.82,34.854,17.96744488605591,-1.7985612998927537e-17
10,S1,symptom_based_TTI,0.0,1.9178564589687193,3.8631796690307327,1813.242,317.058,89.64,5956.224,78.43799999999999,0.0,31.179009526896156,8.31883293020299
11,S1,symptom_based_TTI,0.0,1.9593230060418612,3.8653388822829964,1779.636,318.96,89.67,5631.335999999999,78.018,0.0,30.546292045808162,7.92473240024293
