,strategy,gov_policy,work_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.1,3.9216288002591484,6.710541642399534,0.0,0.0,0.0,838.7040000000001,138.26399999999998,0.0,57.46276019946056,2.531308496145357e-17
1,S1,no_TTI,0.1,3.545893018933278,5.880835380835381,0.0,0.0,0.0,827.736,114.888,0.0,45.6154339821195,-2.531308496145357e-17
2,S1,no_TTI,0.2,6.742309253140979,10.543400713436386,0.0,0.0,0.0,851.664,212.80800000000002,0.0,76.72123003460251,-2.2115642650533118e-16
3,S1,no_TTI,0.2,7.306715231672273,11.706572769953052,0.0,0.0,0.0,824.808,239.37599999999998,0.0,89.96828694276535,1.2656542480726783e-16
4,S1,no_TTI,0.3,9.579179843280102,14.858708891595615,0.0,0.0,0.0,815.544,292.776,0.0,104.02784036800887,1.0791367799356521e-16
5,S1,no_TTI,0.3,10.375947467940088,16.586475164572114,0.0,0.0,0.0,838.248,332.592,0.0,124.53350137286535,-6.52811138479592e-17
6,S1,no_TTI,0.4,12.504702645346265,18.842136854741895,0.0,0.0,0.0,788.952,376.692,0.0,126.69798471423748,9.325873406851316e-18
7,S1,no_TTI,0.4,11.864626733223753,18.978885630498535,0.0,0.0,0.0,801.864,388.308,0.0,145.557737038242,4.449773882697627e-16
8,S1,no_TTI,0.5,14.46871315100976,23.38610947616245,0.0,0.0,0.0,834.72,476.796,0.0,181.807876277213,3.1974423109204506e-17
9,S1,no_TTI,0.5,15.709452562975343,24.97930614729154,0.0,0.0,0.0,826.896,492.49199999999996,0.0,182.76443326837807,-1.7719159473017497e-16
10,S1,symptom_based_TTI,0.1,3.0546946315232684,6.344354335620711,1688.8799999999999,288.744,89.988,5396.472,122.03999999999999,0.0,50.01847094551717,13.261423122501226
11,S1,symptom_based_TTI,0.1,3.247528178078164,6.420049200492005,1799.508,311.47200000000004,90.096,5770.7519999999995,125.268,0.0,47.554762690144464,14.347467499194341
12,S1,symptom_based_TTI,0.2,5.434554305687801,11.508088675853804,1810.968,302.4,89.904,6020.784000000001,230.484,0.0,90.85919983002852,30.781546535656187
13,S1,symptom_based_TTI,0.2,5.41007728366525,10.882352941176471,1768.656,315.23999999999995,89.916,5836.968,217.56,0.0,81.40877137444193,27.992963570522406
14,S1,symptom_based_TTI,0.3,7.787983952334235,15.8271679805943,1839.336,315.168,90.444,5719.464,313.188,0.0,120.02380825883608,39.05556529237425
15,S1,symptom_based_TTI,0.3,8.025234443749198,16.45045045045045,1745.268,305.028,89.28,5755.872,328.68,0.0,127.71840582950676,40.61740998438451
16,S1,symptom_based_TTI,0.4,10.582810204998207,20.866747425802544,1814.784,306.18,90.264,5859.024,413.41200000000003,0.0,150.47700089043298,53.268363328142755
17,S1,symptom_based_TTI,0.4,9.630250250331168,20.70977179637215,1754.7720000000002,308.004,88.848,5962.824,424.716,0.0,169.77758734208,57.441240524128595
18,S1,symptom_based_TTI,0.5,13.69004101345886,25.49563591022444,1748.928,311.29200000000003,89.712,5577.384,490.74,0.0,165.78210646022833,61.45198411271596
19,S1,symptom_based_TTI,0.5,12.118599252027996,24.413813459268006,1710.252,308.94,89.352,5586.8640000000005,496.284,0.0,185.8358314719812,64.10128293279406
20,S1,test_based_TTI,0.1,3.554476265024818,6.691086691086691,197.544,35.424,90.096,3163.704,131.52,0.0,49.960698931396536,11.692515603275641
21,S1,test_based_TTI,0.1,3.2399481146995743,6.447272727272727,197.78400000000002,32.364,88.548,3140.16,127.656,0.0,50.96845315548287,12.536574173465477
22,S1,test_based_TTI,0.2,5.80850619939459,11.495260663507109,205.38,36.384,90.492,3279.024,232.84799999999998,0.0,92.2813564279919,22.909541997071273
23,S1,test_based_TTI,0.2,5.975551188748978,11.78290282902829,178.056,32.628,89.892,2901.192,229.908,0.0,91.76280578617602,21.550239418953925
24,S1,test_based_TTI,0.3,7.1071452273519125,14.878493317132442,173.256,31.704,90.276,2879.712,293.88,0.0,125.49579079993892,28.00387666940616
25,S1,test_based_TTI,0.3,9.1193016347048,17.35225277940316,189.864,38.376,89.256,3079.224,355.86,0.0,137.01757642176554,31.823785653708583
26,S1,test_based_TTI,0.4,11.49181728179644,20.059006211180126,165.648,27.78,89.388,2745.4559999999997,387.53999999999996,0.0,128.7857301105807,36.732360005112426
27,S1,test_based_TTI,0.4,10.085009984700402,20.046497939964684,180.768,29.94,90.072,2951.424,408.70799999999997,0.0,163.45277982188966,39.64203661003894
28,S1,test_based_TTI,0.5,12.819781780190093,25.203748488512698,193.632,32.304,91.24799999999999,3076.992,500.244,0.0,194.8120895044276,50.98488172236
29,S1,test_based_TTI,0.5,12.48370722019986,26.23913043478261,195.18,35.532,90.552,3137.904,506.94,0.0,212.48436282760179,53.27041367813739
30,S1,test_based_TTI_test_contacts,0.1,3.1650634968374494,5.9294187425860025,180.072,29.22,228.792,1107.144,119.964,0.0,44.527789132882354,11.40064619910231
31,S1,test_based_TTI_test_contacts,0.1,3.3085969999722513,6.538888888888889,184.764,34.356,236.136,1148.832,127.11599999999999,0.0,51.03163635419108,11.765237966348275
32,S1,test_based_TTI_test_contacts,0.2,6.002563213666602,11.401565322095124,200.304,33.516,238.21200000000002,1128.696,227.256,0.0,84.69068875641736,22.922221268779907
33,S1,test_based_TTI_test_contacts,0.2,5.961198269370443,11.758848230353928,191.556,37.391999999999996,234.60000000000002,1163.832,235.224,0.0,94.36008700060412,21.616102818909535
34,S1,test_based_TTI_test_contacts,0.3,8.797060162064323,15.887432995830851,188.472,35.604,222.20399999999998,1145.376,320.1,0.0,112.80574004347054,30.051091811257592
35,S1,test_based_TTI_test_contacts,0.3,7.47446123672905,15.258469259723965,181.692,31.14,218.256,1122.744,291.864,0.0,119.1351409660148,29.75736449783203
36,S1,test_based_TTI_test_contacts,0.4,10.293770434737462,21.17314930991217,193.56,30.935999999999996,217.236,1144.0800000000002,405.0,0.0,167.1040080940121,40.99675103033002
37,S1,test_based_TTI_test_contacts,0.4,10.19642313295005,20.018034825870647,178.09199999999998,31.332,208.464,1106.136,386.26800000000003,0.0,152.65447302324617,36.86334620335003
38,S1,test_based_TTI_test_contacts,0.5,13.284269306187422,25.741504854368934,189.78,26.28,201.708,1110.408,509.0640000000001,0.0,196.20098544932185,50.15330475151642
39,S1,test_based_TTI_test_contacts,0.5,13.649099561989642,25.292458614347026,190.164,30.18,207.108,1147.7279999999998,495.02400000000006,0.0,177.27618374767877,50.607639625060564
40,S2,no_TTI,0.1,3.38738329918103,6.512635379061372,0.0,0.0,0.0,792.9119999999999,129.888,20.352,41.97802748113358,4.130029651605582e-17
